GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
X1_000221	scaffold_1:1128718-1130526	-	586	hypothetical protein													
X1_000222	scaffold_1:1131125-1132523	+	465	hypothetical protein													
X1_000223	scaffold_1:1132736-1133426	-	229	hypothetical protein													
X1_000224	scaffold_1:1133700-1134967	+	327	hypothetical protein													
X1_000225	scaffold_1:1135053-1141837	-	1911	hypothetical protein		ENOG41											
X1_000226	scaffold_1:1142276-1143134	+	244	hypothetical protein		ENOG41											
X1_000227	scaffold_1:1144109-1144421	+	103	hypothetical protein													
X1_000228	scaffold_1:1144718-1146102	-	405	hypothetical protein													
X1_000229	scaffold_1:1146441-1148131	-	544	hypothetical protein		ENOG41											
X1_000230	scaffold_1:1148528-1149261	-	225	hypothetical protein		ENOG41											
X1_000231	scaffold_1:1150037-1152856	+	750	hypothetical protein		ENOG41											
X1_000232	scaffold_1:1154731-1156709	-	621	hypothetical protein													
X1_000233	scaffold_1:1157086-1157866	+	130	hypothetical protein													
X1_000234	scaffold_1:1158280-1161458	-	720	hypothetical protein		ENOG41											
X1_000235	scaffold_1:1163794-1164286	+	146	hypothetical protein		ENOG41											
X1_000236	scaffold_1:1164901-1166747	-	569	hypothetical protein													
X1_000237	scaffold_1:1167026-1167945	+	251	hypothetical protein													
X1_000238	scaffold_1:1168217-1169141	-	307	hypothetical protein													
X1_000239	scaffold_1:1169766-1172631	+	903	hypothetical protein		ENOG41											
X1_000240	scaffold_1:1173396-1175299	-	600	hypothetical protein													
X1_000241	scaffold_1:1178671-1179683	+	290	hypothetical protein		ENOG41											
X1_000242	scaffold_1:1179799-1180834	-	344	hypothetical protein		ENOG41											
X1_000243	scaffold_1:1181944-1182888	-	295	hypothetical protein													
X1_000244	scaffold_1:1183863-1189719	+	1867	hypothetical protein													
X1_000245	scaffold_1:1190299-1191185	+	140	hypothetical protein		ENOG41											
X1_000246	scaffold_1:1191718-1194060	-	638	ESCRT-0 subunit protein hse1													
X1_000247	scaffold_1:1195174-1197946	-	836	hypothetical protein													
X1_000248	scaffold_1:1199347-1203614	+	1373	hypothetical protein		ENOG41											
X1_000249	scaffold_1:1203915-1206045	+	554	hypothetical protein													
X1_000250	scaffold_1:1206466-1208106	-	510	hypothetical protein													
X1_000251	scaffold_1:1209182-1210362	+	304	hypothetical protein													
X1_000252	scaffold_1:1210822-1212858	-	643	ERMES complex Ca(2+)-binding regulatory GTPase gem1													
X1_000253	scaffold_1:1213367-1215318	+	559	hypothetical protein		ENOG41											
X1_000254	scaffold_1:1216263-1218183	+	524	hypothetical protein													
X1_000255	scaffold_1:1219008-1220663	+	469	hypothetical protein		ENOG41											
X1_000256	scaffold_1:1221272-1224252	+	921	hypothetical protein													
X1_000257	scaffold_1:1224962-1225223	+	86	hypothetical protein													
X1_000258	scaffold_1:1225290-1225722	+	143	Peptide methionine sulfoxide reductase B2, chloroplastic													
X1_000259	scaffold_1:1229012-1230475	-	466	hypothetical protein													
X1_000260	scaffold_1:1231468-1233044	-	394	hypothetical protein		ENOG41											
X1_000261	scaffold_1:1234103-1235838	-	561	hypothetical protein		ENOG41											
X1_000262	scaffold_1:1262870-1263269	-	108	hypothetical protein													
X1_000263	scaffold_1:1265043-1265643	-	199	hypothetical protein													
X1_000264	scaffold_1:1271599-1275094	-	1119	hypothetical protein		ENOG41											
X1_000265	scaffold_1:1276469-1277018	+	182	hypothetical protein													
X1_000266	scaffold_1:1277364-1278261	-	298	hypothetical protein		ENOG41											
X1_000267	scaffold_1:1278769-1282690	+	1036	hypothetical protein													
X1_000268	scaffold_1:1283095-1283634	-	107	hypothetical protein													
X1_000269	scaffold_1:1283934-1285587	-	550	hypothetical protein													
X1_000270	scaffold_1:1286091-1286988	+	298	hypothetical protein		ENOG41											
X1_000271	scaffold_1:1292320-1292668	+	115	hypothetical protein													
X1_000272	scaffold_1:1300768-1303374	+	422	hypothetical protein													
X1_000273	scaffold_1:1305093-1308113	-	734	hypothetical protein													
X1_000274	scaffold_1:1308877-1309213	-	111	hypothetical protein													
X1_000275	scaffold_1:1363855-1365031	+	391	hypothetical protein													
X1_000276	scaffold_1:1365410-1367006	-	455	hypothetical protein													
X1_000277	scaffold_1:1367178-1368141	+	320	hypothetical protein													
X1_000278	scaffold_1:1368618-1370666	-	567	hypothetical protein													
X1_000279	scaffold_1:1371394-1374502	+	986	hypothetical protein													
X1_000280	scaffold_1:1374859-1377408	-	730	hypothetical protein		ENOG41											
X1_000281	scaffold_1:1377858-1382124	+	1073	hypothetical protein													
X1_000282	scaffold_1:1382633-1383623	+	302	hypothetical protein		ENOG41											
X1_000283	scaffold_1:1383921-1387595	+	1111	hypothetical protein													
X1_000284	scaffold_1:1388576-1389576	-	297	hypothetical protein													
X1_000285	scaffold_1:1390419-1392486	+	654	hypothetical protein													
X1_000286	scaffold_1:1392861-1393926	-	298	hypothetical protein													
X1_000287	scaffold_1:1394170-1395567	+	447	hypothetical protein		ENOG41											
X1_000288	scaffold_1:1450785-1451811	+	309	hypothetical protein													
X1_000289	scaffold_1:1453563-1455959	+	708	hypothetical protein													
X1_000290	scaffold_1:1456366-1458712	-	744	hypothetical protein													
X1_000291	scaffold_1:1459087-1462385	+	1081	hypothetical protein													
X1_000292	scaffold_1:1462403-1468242	-	1463	hypothetical protein													
X1_000293	scaffold_1:1469085-1470810	-	574	hypothetical protein		ENOG41											
X1_000294	scaffold_1:1471842-1472826	-	309	hypothetical protein		ENOG41											
X1_000295	scaffold_1:1473726-1475221	+	481	hypothetical protein		ENOG41											
X1_000296	scaffold_1:1476345-1477833	+	495	hypothetical protein		ENOG41											
X1_000297	scaffold_1:1479219-1481757	+	845	hypothetical protein		ENOG41											
X1_000298	scaffold_1:1482768-1483416	-	215	hypothetical protein													
X1_000299	scaffold_1:1484519-1486301	+	549	hypothetical protein		ENOG41											
X1_000300	scaffold_1:1490974-1491232	-	85	hypothetical protein													
X1_000301	scaffold_1:1494831-1495809	-	308	hypothetical protein													
X1_000302	scaffold_1:1496182-1499112	-	902	hypothetical protein		ENOG41											
X1_000303	scaffold_1:1499442-1500131	+	209	hypothetical protein													
X1_000304	scaffold_1:1500501-1503492	-	952	hypothetical protein													
X1_000305	scaffold_1:1504466-1505707	-	394	hypothetical protein		ENOG41											
X1_000306	scaffold_1:1507386-1512368	+	1608	hypothetical protein		ENOG41											
X1_000307	scaffold_1:1513006-1518424	-	1523	hypothetical protein													
X1_000308	scaffold_1:1518774-1519914	+	362	NADH-ubiquinone oxidoreductase 30.4 kDa subunit, mitochondrial													
X1_000309	scaffold_1:1520070-1521289	-	386	hypothetical protein		ENOG41											
X1_000310	scaffold_1:1521585-1526082	+	955	hypothetical protein													
X1_000311	scaffold_1:1526306-1527257	-	316	hypothetical protein		ENOG41											
X1_000312	scaffold_1:1528238-1529816	+	490	hypothetical protein													
X1_000313	scaffold_1:1531337-1532232	-	258	hypothetical protein		ENOG41											
X1_000314	scaffold_1:1535881-1536262	+	126	hypothetical protein													
X1_000315	scaffold_1:1537548-1542318	+	1542	hypothetical protein		ENOG41											
X1_000316	scaffold_1:1542858-1543908	-	349	hypothetical protein													
X1_000317	scaffold_1:1545248-1548562	-	828	hypothetical protein		ENOG41											
X1_000318	scaffold_1:1549869-1551409	+	492	hypothetical protein		ENOG41											
X1_000319	scaffold_1:1552224-1553039	-	253	hypothetical protein													
X1_000320	scaffold_1:1553610-1555707	+	600	hypothetical protein		ENOG41											
X1_000321	scaffold_1:1556285-1558033	-	496	hypothetical protein													
X1_000322	scaffold_1:1558529-1559791	+	334	hypothetical protein		ENOG41											
X1_000323	scaffold_1:1560568-1562797	+	613	hypothetical protein													
X1_000324	scaffold_1:1563436-1564935	-	442	hypothetical protein													
X1_000325	scaffold_1:1565585-1565897	+	85	hypothetical protein													
X1_000326	scaffold_1:1566504-1567578	-	339	hypothetical protein		ENOG41											
X1_000327	scaffold_1:1568235-1571995	-	930	Protein kinase													
X1_000328	scaffold_1:1572422-1575283	-	857	hypothetical protein		ENOG41											
X1_000329	scaffold_1:1576255-1577770	-	487	hypothetical protein													
X1_000330	scaffold_1:1577935-1579198	+	385	hypothetical protein													
X1_000331	scaffold_1:1579955-1581922	-	621	hypothetical protein		ENOG41											
X1_000332	scaffold_1:1582874-1585535	-	886	hypothetical protein													
X1_000333	scaffold_1:1586116-1588999	-	960	hypothetical protein		ENOG41											
X1_000334	scaffold_1:1589383-1590663	-	405	hypothetical protein		ENOG41											
X1_000335	scaffold_1:1592569-1595598	+	924	hypothetical protein													
X1_000336	scaffold_1:1598026-1598734	+	235	hypothetical protein													
X1_000337	scaffold_1:1598960-1600380	+	452	hypothetical protein													
X1_000338	scaffold_1:1600698-1602475	+	461	hypothetical protein													
X1_000339	scaffold_1:1602682-1603060	-	125	hypothetical protein													
X1_000340	scaffold_1:1603612-1603957	-	114	hypothetical protein													
X1_000341	scaffold_1:1604345-1610434	+	1764	hypothetical protein													
X1_000342	scaffold_1:1610867-1613857	-	975	hypothetical protein		ENOG41											
X1_000343	scaffold_1:1614279-1615958	+	429	hypothetical protein													
X1_000344	scaffold_1:1616488-1617241	+	160	translocase of the inner membrane													
X1_000345	scaffold_1:1617631-1619377	-	546	hypothetical protein		ENOG41											
X1_000346	scaffold_1:1620938-1621393	-	132	hypothetical protein		ENOG41											
X1_000347	scaffold_1:1621605-1622415	+	269	hypothetical protein													
X1_000348	scaffold_1:1622736-1624260	-	294	hypothetical protein													
X1_000349	scaffold_1:1624868-1627373	+	792	hypothetical protein		ENOG41											
X1_000350	scaffold_1:1630563-1631971	+	398	hypothetical protein		ENOG41											
X1_000351	scaffold_1:1633138-1635868	+	909	hypothetical protein		ENOG41											
X1_000352	scaffold_1:1636631-1644836	+	1661	hypothetical protein		ENOG41											
X1_000353	scaffold_1:1645250-1646025	-	164	hypothetical protein													
X1_000354	scaffold_1:1646421-1647855	-	477	hypothetical protein		ENOG41											
X1_000355	scaffold_1:1649447-1650199	+	155	hypothetical protein													
X1_000356	scaffold_1:1650475-1651547	-	338	hypothetical protein													
X1_000357	scaffold_1:1652702-1653397	+	158	Ubiquitin-conjugating enzyme E2 8													
X1_000358	scaffold_1:1653749-1657434	+	1196	hypothetical protein		ENOG41											
X1_000359	scaffold_1:1658300-1660607	-	768	hypothetical protein													
X1_000360	scaffold_1:1661312-1661861	+	182	hypothetical protein													
X1_000361	scaffold_1:1661908-1664399	-	814	hypothetical protein													
X1_000362	scaffold_1:1664834-1666325	+	473	Serine/threonine-protein phosphatase 2A activator 1													
X1_000363	scaffold_1:1668116-1669194	+	194	hypothetical protein													
X1_000364	scaffold_1:1672570-1675963	+	1047	hypothetical protein		ENOG41											
X1_000365	scaffold_1:1678191-1679427	+	411	hypothetical protein													
X1_000366	scaffold_1:1679551-1683569	-	1292	hypothetical protein													
X1_000367	scaffold_1:1684119-1686512	-	756	hypothetical protein		ENOG41											
X1_000368	scaffold_1:1688908-1690909	+	666	hypothetical protein													
X1_000369	scaffold_1:1691100-1692998	-	599	hypothetical protein													
X1_000370	scaffold_1:1695585-1697115	+	484	hypothetical protein		ENOG41											
X1_000371	scaffold_1:1697598-1698032	-	89	hypothetical protein													
X1_000372	scaffold_1:1700596-1702341	-	542	hypothetical protein		ENOG41											
X1_000373	scaffold_1:1703156-1705173	+	576	hypothetical protein		ENOG41											
X1_000374	scaffold_1:1705717-1706758	+	324	hypothetical protein													
X1_000375	scaffold_1:1708420-1709512	-	363	hypothetical protein		ENOG41											
X1_000376	scaffold_1:1713094-1714316	-	376	hypothetical protein		ENOG41											
X1_000377	scaffold_1:1714831-1716023	+	338	hypothetical protein		ENOG41											
X1_000378	scaffold_1:1717830-1720270	-	753	hypothetical protein		ENOG41											
X1_000379	scaffold_1:1721224-1721977	+	250	hypothetical protein													
X1_000380	scaffold_1:1723834-1727996	-	822	hypothetical protein		ENOG41											
X1_000381	scaffold_1:1734057-1734546	-	162	hypothetical protein													
X1_000382	scaffold_1:1738105-1739126	+	270	hypothetical protein													
